,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,0.16261593103757224,-0.21782847863330665,0.08183303168790373,-0.22977093916948346,0.031655481809030515,-0.08486082692932544,0.29541459338563,0.3129946998173633,-0.07222889966053382,0.012337220436955725,0.01651169993458873,0.3929088799874845,-0.3055487497264113,0.028149644851670326
Spine1_Spine3_Head_Angle_CV,0.10209495408158994,-0.07046845121101723,0.15895255202523165,0.6244791255475282,-0.06827463746798296,-0.16153095044181556,-0.028162126680223974,0.03210257640706582,-0.3396909525753047,-0.22008188667381529,0.041487979167860574,-0.124232751318989,-0.1794171736025013,0.0502654540419732
Spine1_Spine3_Head_Angle_STD,0.007443987894772126,0.234080096023132,-0.19657726923656382,0.287463050771039,-0.2640299935781653,0.12990016531449514,-0.26543224735950244,0.1343377892951682,-0.30329947134175944,0.04089722956229895,0.19412383259790564,0.29384630011146873,0.08432540423913004,-0.031562627790299995
Spine1_Spine3_Head_Angle_ZeroCross,0.2909904515250699,-0.029625473948420977,-0.00907778368459056,-0.057964261563759736,0.08112963581680481,-0.07175206509811424,0.005136730463087678,-0.13531786757939315,-0.08389549760191067,0.2275268546012927,0.2430801657529497,-0.08687090377890197,-0.251017790581247,0.09074584206811075
Spine3_LeftShoulder_LeftArm_Angle_CV,0.03463076430570425,0.2721134650017049,-0.16845132996045425,0.02296390732589188,0.12205474946687889,-0.34790236204022823,0.1756790376332967,-0.015086289877030397,0.15833810811486582,0.1255900354306841,-0.28556659851254734,-0.02636519887241989,-0.2908865263879686,-0.09217159513174615
Spine3_LeftShoulder_LeftArm_Angle_STD,0.15751442972420251,0.1759728269482245,-0.34531873284832937,0.14600205866818675,-0.0493967941339053,-0.11090052839750876,0.00643258365005008,0.05925236337610545,0.030485383428694432,0.0281532620014544,-0.01535592566283837,0.06891003752692963,0.17890869169924434,0.07067771765312751
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,0.24803583134332632,-0.140707974595794,0.0620253280696537,-0.05448302114378198,0.06225495274241966,-0.07914705249617532,-0.23199803425145055,-0.2962201730252296,0.039092184908519026,-0.15657865599153567,-0.24485663789121984,-0.019055947105942647,0.0758140381688267,0.05262033642163581
Spine3_RightShoulder_RightArm_Angle_CV,0.07603887783981617,0.2451921655149811,-0.02267624650418319,0.1157274870782226,0.4626796657339086,-0.24156491778109115,-0.008338108923216887,0.03963196861164511,-0.019030160919258177,-0.08371749458282791,-0.04237512859211979,0.15022319959349612,0.3185816524910704,0.2096671088575288
Spine3_RightShoulder_RightArm_Angle_STD,0.16834992806241736,0.20453128643759014,-0.24532781918757998,0.15343499447110265,0.17625877822335423,-0.0793745305221833,-0.012710213628624725,-0.07102339172727531,0.2428530163831499,0.012669477080976169,-0.013755401140900094,0.006844287296798192,-0.18909533525710037,-0.15613486668023668
Spine3_RightShoulder_RightArm_Angle_ZeroCross,0.20294749661284564,-0.21533973945000295,-0.019504395686914484,0.03754492589677415,-0.22334601504981355,-0.055384877820472314,0.01994009599705735,-0.06566612394994767,-0.07622223588159903,-0.16138697124361243,-0.3259627935124833,0.38931552701212235,-0.13567835300716197,-0.09696087351496105
