feature,PC,abs_loading,family
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC7,0.22983734724942273,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC7,0.07181468098390698,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC7,0.08807303182509904,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC7,0.13985716494085712,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC7,0.2577657087309222,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC7,0.3729494861365214,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC7,0.10722352299116249,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC7,0.29541459338563,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC7,0.028162126680223974,CV
Spine1_Spine3_Head_Angle_STD,PC7,0.26543224735950244,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC7,0.005136730463087678,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC7,0.1756790376332967,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC7,0.00643258365005008,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC7,0.23199803425145055,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC7,0.008338108923216887,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC7,0.012710213628624725,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC7,0.01994009599705735,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC8,0.385551931694515,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC8,0.01737158437164021,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC8,0.16192311627859646,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC8,0.1673511923060227,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC8,0.08020420653600625,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC8,0.09076228300673764,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC8,0.12133455750184051,CV
Hips_Spine1_Spine3_Angle_STD,PC8,0.45810163895393774,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC8,0.14697838501247693,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC8,0.24538857155245186,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC8,0.12306257468166852,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC8,0.21385510992446405,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC8,0.11104699855168153,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC8,0.12105792268814938,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC8,0.31953882788377236,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC8,0.13012337136388516,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC8,0.02884395052248573,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC8,0.12648198953532414,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC8,0.10157777755520891,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC8,0.06276218389334827,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC8,0.3129946998173633,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC8,0.03210257640706582,CV
Spine1_Spine3_Head_Angle_STD,PC8,0.1343377892951682,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC8,0.13531786757939315,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC8,0.015086289877030397,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC8,0.05925236337610545,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC8,0.2962201730252296,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC8,0.03963196861164511,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC8,0.07102339172727531,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC8,0.06566612394994767,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC9,0.09817228069363963,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC9,0.17026071222079375,STD
